video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=QTu4abfpgiE&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@AdamJacobson08,Adam Jacobson,Erin Brockovich Investigating Midland Chromium Contamination,1.7K,14 years,High profile environmental activist Erin Brockovich is investigating a chromium contamination affecting hundreds of midland ...,2024-01-27 23:54:49.437315
/watch?v=PFKbSi0glr4&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@BarryKolsky,Barry Kolsky,Hinkley CA Exploring,298,2 years,"A little adventure in the XTERRA to the town of Hinkley CA, made famous or infamous in the movie about Erin Brockovich.",2024-01-27 23:54:56.610121
/watch?v=ggBWrKbX_cs&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@makerswomen,MAKERS,Erin Brockovich: What it was like Meeting Julia Roberts on Set,36K,10 years,Brockovich talks about the excitement that went along with Steven Soderbergh's movie based on her and meeting Julia Roberts.,2024-01-27 23:54:56.611633
/watch?v=PoI94SRiqoY&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@celynng6525,Celyn Ng,The 'Erin Brockovich' Town,11,4 years,Presentation on the 'Erin Brockovich' town and its groundwater contamination. Completed as part of the NYU Global ...,2024-01-27 23:54:56.613660
/watch?v=MSP3MdZu0is&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@Yahoo,Yahoo,"Erin Brockovich blasts Trump over ‘reckless, careless’ environmental regulation rollbacks",20K,4 years,Erin Brockovich became a household name almost 20 years ago when Julia Roberts brought her legal battle with Pacific Gas and ...,2024-01-27 23:54:56.615133
/watch?v=UiyGig6VOY4&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@cbs8sandiego,CBS 8 San Diego,Interactive map shows how much 'Erin Brockovich' chemical is in San Diego County’s water supply,2.3K,1 year,How safe is your drinking water? California wants to put a limit on how much of a cancer-causing contaminant is allowed in our ...,2024-01-27 23:54:56.616593
/shorts/aQNmFwgndl0,/@movie38529,MovieMusings,How powerful she is!!,4.1K,1 year,shorts #film #movie #comedy #emotion #love 【Erin Brockovich】 Erin Brockovich is a single mother with three children in tow.,2024-01-27 23:54:56.618083
/shorts/IU7Fjt0-7yo,/@searchbug,"Searchbug, Inc.",Julia Roberts owned this scene on Erin Brockovich movie! No copyright infringement intended. #shorts,3.5M,6 months,"Julia Roberts OWNED this scene! Phone numbers of 600 plaintiffs? Easy as 1,2,3. I wonder if she used Searchbug to learn the ...",2024-01-27 23:54:56.619453
/watch?v=R0AETcMRRME&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@GoofballGoddess,Lesley Lina,Scene Study: Erin Brokovich,151,2 years,"Remembered that I worked on this a few months back but never got to share it. This is a scene from Erin Brokovich, where the ...",2024-01-27 23:54:56.620877
/watch?v=QtHeDX0EoaE&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@PBSNewsHour,PBS NewsHour,Science for Sale,34K,10 years,"In part one of a two-part series, PBS NewsHour Science Correspondent Miles O'Brien travels to Hinkley, CA -- the town whose ...",2024-01-27 23:54:56.622812
/watch?v=9GcwSS19c6Q&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@WWAYNEWS,WWAY NEWS,Erin Brockovich weighs in on GenX concerns,215,6 years,"Back in the 90s, a heavily toxic chemical named Hexavalent Chromium tainted the waters in Hinkley, California. Environmental ...",2024-01-27 23:54:56.623773
/watch?v=lPRAeXqIlWw&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@bingesociety,Binge Society ,Erin Brockovich: Erin's fired HD CLIP,696K,3 years,"What's happening in this Erin Brockovich movie clip? Erin (Julia Roberts from Pretty Woman, Notting Hill, and My Best Friend's ...",2024-01-27 23:54:56.624706
/watch?v=Dt9W3n0wKto&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@AZTV7,AZTV7,Erin Brockovich on Lead in Water at Daycares and Schools,63,1 year,"Erin Brockovich is, of course, best known as the activist who helped get justice for consumers in Hinkley, California, where the ...",2024-01-27 23:54:56.626163
/watch?v=pvA2PWQsPeM&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@AdamJacobson08,Adam Jacobson,Inspired by Erin Brockovich - Midland Co. Residents File Lawsuit Against Schlumberger,2.2K,13 years,"Almost two years after hexavalent chromium was discovered around County Road 112 in Midland County, residents say the ...",2024-01-27 23:54:56.635997
/watch?v=Fl-VE6NGosg&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@kimberjackshilpetski,kimber jack shilpetski,"Good bye Hinkley, CA, Erin Brockovitch",1.6K,2 years,A look at the Hinkley town ruins left behind by Pacific Gas & Electric after poisoning the groundwater for two decades with cancer ...,2024-01-27 23:54:56.637630
/watch?v=oApGfsZDC9o&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@marlothomas,marlothomas,Erin Brokovich on Why Companies Tamper With Water,208,10 years,"Erin Brockovich talks about the how companies pollute water and the environment, and how some decide to cover it up. Part of the ...",2024-01-27 23:54:56.639228
/watch?v=Ya59c_oMJ5M&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@pgelawsuit9399,PG&E Lawsuit,Erin Brockovich - PG&E Lawsuit,3.3K,5 years,Learn More: www.pgelawsuit.com.,2024-01-27 23:54:56.640771
/watch?v=4x7Nwr-kYco&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@afi,American Film Institute,Erin Brockovich talks about the the film based on her life,9.1K,3 years,"Erin Brockovich on the film based on her life, ERIN BROCKOVICH starring Julia Roberts. FOLLOW AFI: ...",2024-01-27 23:54:56.642738
